[16:30:13] 📍 Loaded 754 district venues
[16:30:13] 🚀 DISTRICT SCRAPER STARTED
[16:30:14] ⚠ 1101483 → NO DEBUG
[16:30:14] ⚠ 20856 → NO DEBUG
[16:30:14] ⚠ 1102215 → NO DEBUG
[16:30:14] ⚠ 1096456 → NO DEBUG
[16:30:14] ⚠ 61879 → NO DEBUG
[16:30:14] ⚠ 1101584 → NO DEBUG
[16:30:14] ⚠ 1102096 → NO DEBUG
[16:30:14] ⚠ 1086677 → NO DEBUG
[16:30:14] ⚠ 1102183 → NO DEBUG
[16:30:14] ⚠ 1102119 → NO DEBUG
[16:30:14] ⚠ 1102311 → NO DEBUG
[16:30:14] ⚠ 1102076 → NO DEBUG
[16:30:14] ⚠ 1100725 → NO DEBUG
[16:30:14] ⚠ 1067161 → NO DEBUG
[16:30:14] ⚠ 1101397 → NO DEBUG
[16:30:14] ⚠ 1102289 → NO DEBUG
[16:30:14] ⚠ 1102103 → NO DEBUG
[16:30:14] ⚠ 1102100 → NO DEBUG
[16:30:14] ⚠ 1583 → NO DEBUG
[16:30:14] ⚠ 1020401 → NO DEBUG
[16:30:14] ⚠ 1102127 → NO DEBUG
[16:30:14] ⚠ 1102098 → NO DEBUG
[16:30:14] ⚠ 1102244 → NO DEBUG
[16:30:14] ⚠ 51512 → NO DEBUG
[16:30:14] ⚠ 1068240 → NO DEBUG
[16:30:14] ⚠ 539 → NO DEBUG
[16:30:14] ⚠ 1102233 → NO DEBUG
[16:30:14] ⚠ 4430 → NO DEBUG
[16:30:14] ⚠ 1044502 → NO DEBUG
[16:30:14] ⚠ 9508 → NO DEBUG
[16:30:14] ⚠ 1102304 → NO DEBUG
[16:30:14] ⚠ 1101355 → NO DEBUG
[16:30:14] ⚠ 1096475 → NO DEBUG
[16:30:14] ⚠ 1095290 → NO DEBUG
[16:30:14] ⚠ 1096482 → NO DEBUG
[16:30:14] ⚠ 1101450 → NO DEBUG
[16:30:14] ⚠ 1102094 → NO DEBUG
[16:30:14] ⚠ 1102097 → NO DEBUG
[16:30:14] ⚠ 1094756 → NO DEBUG
[16:30:14] ⚠ 1102280 → NO DEBUG
[16:30:14] ⚠ 7854 → NO DEBUG
[16:30:14] ⚠ 1082714 → NO DEBUG
[16:30:14] ⚠ 1096524 → NO DEBUG
[16:30:14] ⚠ 1102186 → NO DEBUG
[16:30:14] ⚠ 1096734 → NO DEBUG
[16:30:14] ⚠ 1011906 → NO DEBUG
[16:30:14] ⚠ 1102173 → NO DEBUG
[16:30:14] ⚠ 1101471 → NO DEBUG
[16:30:14] ⚠ 1102095 → NO DEBUG
[16:30:14] ⚠ 9736 → NO DEBUG
[16:30:14] ⚠ 1102182 → NO DEBUG
[16:30:14] ⚠ 1102090 → NO DEBUG
[16:30:14] ⚠ 1102176 → NO DEBUG
[16:30:14] ⚠ 1102270 → NO DEBUG
[16:30:14] ⚠ 7257 → NO DEBUG
[16:30:14] ⚠ 1101451 → NO DEBUG
[16:30:14] ⚠ 1102071 → NO DEBUG
[16:30:14] ⚠ 1102248 → NO DEBUG
[16:30:14] ⚠ 1102164 → NO DEBUG
[16:30:14] ⚠ 1102272 → NO DEBUG
[16:30:14] ⚠ 1068270 → NO DEBUG
[16:30:14] ⚠ 4222 → NO DEBUG
[16:30:14] ⚠ 1102256 → NO DEBUG
[16:30:14] ⚠ 1102242 → NO DEBUG
[16:30:14] ⚠ 1102181 → NO DEBUG
[16:30:14] ⚠ 1102175 → NO DEBUG
[16:30:14] ⚠ 1102082 → NO DEBUG
[16:30:14] ⚠ 1101521 → NO DEBUG
[16:30:14] ⚠ 1102165 → NO DEBUG
[16:30:14] ⚠ 1102073 → NO DEBUG
[16:30:14] ⚠ 1101568 → NO DEBUG
[16:30:14] ⚠ 1102084 → NO DEBUG
[16:30:14] ⚠ 1102273 → NO DEBUG
[16:30:14] ⚠ 1102047 → NO DEBUG
[16:30:14] ⚠ 1102253 → NO DEBUG
[16:30:14] ⚠ 1038431 → NO DEBUG
[16:30:14] ⚠ 1102265 → NO DEBUG
[16:30:14] ⚠ 1102299 → NO DEBUG
[16:30:14] ⚠ 1102166 → NO DEBUG
[16:30:14] ⚠ 1102213 → NO DEBUG
[16:30:14] ⚠ 1102080 → NO DEBUG
[16:30:14] ⚠ 1101590 → NO DEBUG
[16:30:14] ⚠ 1102247 → NO DEBUG
[16:30:14] ⚠ 1102184 → NO DEBUG
[16:30:14] ⚠ 1102241 → NO DEBUG
[16:30:14] ⚠ 1102174 → NO DEBUG
[16:30:14] ⚠ 1102277 → NO DEBUG
[16:30:14] ⚠ 1102291 → NO DEBUG
[16:30:14] ⚠ 1102269 → NO DEBUG
[16:30:14] ⚠ 1041690 → NO DEBUG
